呾楊靡備,珆尨靡備,翹秶坰竘,隙溫坰竘,翹秶偌瑩ID,隙溫偌瑩ID,翹秶偌瑩奀潔(ms),隙溫偌瑩奀潔(ms),橈勤晊奀(ms),呾楊す歙晊奀(ms),眈勤晊奀(ms)
smc_11-21-秞論聆彸3,smc,0,0,28,28,3351.9,3365.5,13.6,14.039795918367348,-0.439795918
smc_11-21-秞論聆彸3,smc,1,1,16,16,3357.1,3376.7,19.6,14.039795918367348,5.560204081632653
smc_11-21-秞論聆彸3,smc,2,2,20,20,3533.5,3555.9,22.4,14.039795918367348,8.36020408163265
smc_11-21-秞論聆彸3,smc,3,3,32,32,3546.9,3564.3,17.4,14.039795918367348,3.3602040816326504
smc_11-21-秞論聆彸3,smc,4,4,23,23,3695.9,3710.5,14.6,14.039795918367348,0.5602040816326515
smc_11-21-秞論聆彸3,smc,5,5,35,35,3711.3,3725.5,14.2,14.039795918367348,0.1602040816326511
smc_11-21-秞論聆彸3,smc,6,6,28,28,3860.9,3873.5,12.6,14.039795918367348,-1.439795918
smc_11-21-秞論聆彸3,smc,7,7,40,40,3873.1,3886.9,13.8,14.039795918367348,-0.239795918
smc_11-21-秞論聆彸3,smc,8,8,32,32,4016.1,4029.3,13.2,14.039795918367348,-0.839795918
smc_11-21-秞論聆彸3,smc,9,9,44,44,4020.5,4033,12.5,14.039795918367348,-1.539795918
smc_11-21-秞論聆彸3,smc,10,10,35,35,4155.9,4169.7,13.8,14.039795918367348,-0.239795918
smc_11-21-秞論聆彸3,smc,11,11,47,47,4156.5,4170.4,13.9,14.039795918367348,-0.139795918
smc_11-21-秞論聆彸3,smc,12,12,52,52,4300.5,4314.8,14.3,14.039795918367348,0.2602040816326525
smc_11-21-秞論聆彸3,smc,13,13,40,40,4315.1,4328.9,13.8,14.039795918367348,-0.239795918
smc_11-21-秞論聆彸3,smc,14,14,56,56,4447.1,4461,13.9,14.039795918367348,-0.139795918
smc_11-21-秞論聆彸3,smc,15,15,35,35,4462.9,4479.7,16.8,14.039795918367348,2.7602040816326525
smc_11-21-秞論聆彸3,smc,16,16,32,32,4578.5,4587.3,8.8,14.039795918367348,-5.239795918
smc_11-21-秞論聆彸3,smc,17,17,59,59,4589.5,4601,11.5,14.039795918367348,-2.539795918
smc_11-21-秞論聆彸3,smc,18,19,28,28,4736.5,4750.9,14.4,14.039795918367348,0.36020408163265216
smc_11-21-秞論聆彸3,smc,19,20,64,64,4739.5,4754,14.5,14.039795918367348,0.4602040816326518
smc_11-21-秞論聆彸3,smc,20,21,23,23,4884.3,4897.1,12.8,14.039795918367348,-1.239795918
smc_11-21-秞論聆彸3,smc,21,22,68,68,4885.7,4900,14.3,14.039795918367348,0.2602040816326525
smc_11-21-秞論聆彸3,smc,22,23,20,20,5010.7,5029.5,18.8,14.039795918367348,4.7602040816326525
smc_11-21-秞論聆彸3,smc,23,24,71,71,5027.7,5042.3,14.6,14.039795918367348,0.5602040816326515
smc_11-21-秞論聆彸3,smc,24,26,16,16,5161.5,5181.1,19.6,14.039795918367348,5.560204081632653
smc_11-21-秞論聆彸3,smc,25,25,76,76,5168.9,5180.2,11.3,14.039795918367348,-2.739795918
smc_11-21-秞論聆彸3,smc,27,27,71,71,5310.1,5327,16.9,14.039795918367348,2.8602040816326504
smc_11-21-秞論聆彸3,smc,28,28,23,23,5439.3,5451.3,12,14.039795918367348,-2.039795918
smc_11-21-秞論聆彸3,smc,29,29,68,68,5452.5,5466.4,13.9,14.039795918367348,-0.139795918
smc_11-21-秞論聆彸3,smc,30,30,28,28,5583.1,5594.7,11.6,14.039795918367348,-2.439795918
smc_11-21-秞論聆彸3,smc,31,31,64,64,5586.1,5600.4,14.3,14.039795918367348,0.2602040816326525
smc_11-21-秞論聆彸3,smc,32,32,32,32,5716.5,5729.7,13.2,14.039795918367348,-0.839795918
smc_11-21-秞論聆彸3,smc,33,33,59,59,5722.9,5733.2,10.3,14.039795918367348,-3.739795918
smc_11-21-秞論聆彸3,smc,34,34,35,35,5844.3,5858.5,14.2,14.039795918367348,0.1602040816326511
smc_11-21-秞論聆彸3,smc,35,35,56,56,5853.1,5866.2,13.1,14.039795918367348,-0.939795918
smc_11-21-秞論聆彸3,smc,36,36,52,52,5989.7,6003.4,13.7,14.039795918367348,-0.339795918
smc_11-21-秞論聆彸3,smc,37,37,40,40,5995.5,6008.3,12.8,14.039795918367348,-1.239795918
smc_11-21-秞論聆彸3,smc,38,38,56,56,6120.3,6131.4,11.1,14.039795918367348,-2.939795918
smc_11-21-秞論聆彸3,smc,39,39,44,44,6129.9,6143.8,13.9,14.039795918367348,-0.139795918
smc_11-21-秞論聆彸3,smc,40,41,47,47,6261.3,6274.8,13.5,14.039795918367348,-0.539795918
smc_11-21-秞論聆彸3,smc,41,40,59,59,6262.7,6273,10.3,14.039795918367348,-3.739795918
smc_11-21-秞論聆彸3,smc,42,42,64,64,6395.7,6409.8,14.1,14.039795918367348,0.06020408163265145
smc_11-21-秞論聆彸3,smc,43,43,52,52,6400.5,6414.6,14.1,14.039795918367348,0.06020408163265145
smc_11-21-秞論聆彸3,smc,44,45,68,68,6526.7,6540,13.3,14.039795918367348,-0.739795918
smc_11-21-秞論聆彸3,smc,45,46,56,56,6535.5,6549.2,13.7,14.039795918367348,-0.339795918
smc_11-21-秞論聆彸3,smc,46,47,59,59,6662.9,6673.6,10.7,14.039795918367348,-3.339795918
smc_11-21-秞論聆彸3,smc,47,48,71,71,6664.1,6678,13.9,14.039795918367348,-0.139795918
smc_11-21-秞論聆彸3,smc,48,49,57,57,6666.9,6686.8,19.9,14.039795918367348,5.86020408163265
smc_11-21-秞論聆彸3,smc,49,50,76,76,6807.3,6817.8,10.5,14.039795918367348,-3.539795918
smc_11-21-秞論聆彸3,smc,50,51,64,64,6812.7,6827.2,14.5,14.039795918367348,0.4602040816326518
smc_11-21-秞論聆彸3,smc,51,52,63,63,6831.9,6847.8,15.9,14.039795918367348,1.8602040816326522
smc_11-21-秞論聆彸3,smc,52,53,71,71,6929.7,6947.4,17.7,14.039795918367348,3.660204081632651
smc_11-21-秞論聆彸3,smc,53,54,68,68,7068.9,7083.4,14.5,14.039795918367348,0.4602040816326518
smc_11-21-秞論聆彸3,smc,54,55,56,56,7069.9,7087.4,17.5,14.039795918367348,3.460204081632652
smc_11-21-秞論聆彸3,smc,55,56,54,54,7109.1,7124,14.9,14.039795918367348,0.8602040816326522
smc_11-21-秞論聆彸3,smc,56,57,64,64,7205.5,7219,13.5,14.039795918367348,-0.539795918
smc_11-21-秞論聆彸3,smc,57,58,52,52,7209.1,7223.8,14.7,14.039795918367348,0.6602040816326511
smc_11-21-秞論聆彸3,smc,58,59,51,51,7227.5,7243.4,15.9,14.039795918367348,1.8602040816326522
smc_11-21-秞論聆彸3,smc,59,60,59,59,7340.1,7350.8,10.7,14.039795918367348,-3.339795918
smc_11-21-秞論聆彸3,smc,60,61,47,47,7343.1,7356.8,13.7,14.039795918367348,-0.339795918
smc_11-21-秞論聆彸3,smc,61,62,44,44,7473.5,7489,15.5,14.039795918367348,1.4602040816326518
smc_11-21-秞論聆彸3,smc,62,63,56,56,7478.3,7491.4,13.1,14.039795918367348,-0.939795918
smc_11-21-秞論聆彸3,smc,63,65,40,40,7611.3,7628.1,16.8,14.039795918367348,2.7602040816326525
smc_11-21-秞論聆彸3,smc,64,64,52,52,7612.7,7626.6,13.9,14.039795918367348,-0.139795918
smc_11-21-秞論聆彸3,smc,65,66,56,56,7730.5,7741.2,10.7,14.039795918367348,-3.339795918
smc_11-21-秞論聆彸3,smc,66,67,35,35,7746.9,7759.7,12.8,14.039795918367348,-1.239795918
smc_11-21-秞論聆彸3,smc,67,69,32,32,7874.5,7889.5,15,14.039795918367348,0.9602040816326518
