Ëã·¨Ãû³Æ,ÏÔÊ¾Ãû³Æ,Â¼ÖÆË÷Òý,»Ø·ÅË÷Òý,Â¼ÖÆ°´¼üID,»Ø·Å°´¼üID,Â¼ÖÆ°´¼üÊ±¼ä(ms),»Ø·Å°´¼üÊ±¼ä(ms),¾ø¶ÔÑÓÊ±(ms),Ëã·¨Æ½¾ùÑÓÊ±(ms),Ïà¶ÔÑÓÊ±(ms)
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,44,44,42,42,6454.7,6477.8,23.1,20.489051094890506,2.6109489051094954
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,45,45,37,37,6688.1,6708.3,20.2,20.489051094890506,-0.289051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,46,46,41,41,6898.7,6914.4,15.7,20.489051094890506,-4.789051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,47,47,44,44,6904.3,6926,21.7,20.489051094890506,1.2109489051094933
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,48,48,40,40,6908.7,6927.7,19,20.489051094890506,-1.489051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,49,49,52,52,6909.9,6929.4,19.5,20.489051094890506,-0.989051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,50,50,35,35,7139.3,7158.5,19.2,20.489051094890506,-1.289051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,51,52,47,47,7143.9,7165,21.1,20.489051094890506,0.6109489051094954
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,52,51,39,39,7144.7,7160.7,16,20.489051094890506,-4.489051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,53,53,36,36,7157.3,7178.5,21.2,20.489051094890506,0.7109489051094933
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,54,54,42,42,7386.9,7403.4,16.5,20.489051094890506,-3.989051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,55,55,43,43,7601.3,7616.6,15.3,20.489051094890506,-5.189051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,56,56,46,46,7605.1,7623.2,18.1,20.489051094890506,-2.389051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,57,57,54,54,7617.3,7635.4,18.1,20.489051094890506,-2.389051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,58,58,42,42,7839.1,7862,22.9,20.489051094890506,2.4109489051094926
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,59,59,43,43,8062.5,8080.2,17.7,20.489051094890506,-2.789051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,60,60,46,46,8071.7,8091,19.3,20.489051094890506,-1.189051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,61,61,54,54,8081.3,8098.4,17.1,20.489051094890506,-3.389051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,62,62,42,42,8314.7,8335.2,20.5,20.489051094890506,0.010948905109493978
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,63,63,43,43,8537.9,8554.4,16.5,20.489051094890506,-3.989051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,64,64,46,46,8538.9,8558,19.1,20.489051094890506,-1.389051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,65,65,54,54,8548.9,8569,20.1,20.489051094890506,-0.389051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,66,66,49,49,8793.1,8804.8,11.7,20.489051094890506,-8.789051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,67,68,49,49,8993.7,9018.6,24.9,20.489051094890506,4.410948905109493
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,68,67,47,47,9000.5,9018,17.5,20.489051094890506,-2.989051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,69,69,53,53,9029.7,9052.6,22.9,20.489051094890506,2.4109489051094926
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,70,70,55,55,9041.9,9063.4,21.5,20.489051094890506,1.010948905109494
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,71,71,61,61,9072.3,9086.8,14.5,20.489051094890506,-5.989051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,72,72,47,47,9133.7,9145.6,11.9,20.489051094890506,-8.589051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,73,73,45,45,9238.3,9257,18.7,20.489051094890506,-1.789051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,74,74,43,43,9477.3,9490.6,13.3,20.489051094890506,-7.189051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,75,75,42,42,9678.9,9697.2,18.3,20.489051094890506,-2.189051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,76,76,46,46,9685.9,9705,19.1,20.489051094890506,-1.389051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,77,77,48,48,9695.9,9715.7,19.8,20.489051094890506,-0.689051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,78,78,55,55,9723.7,9739.7,16,20.489051094890506,-4.489051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,79,79,40,40,9924.5,9947.5,23,20.489051094890506,2.510948905109494
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,80,80,25,25,10166.7,10182.3,15.6,20.489051094890506,-4.889051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,81,81,23,23,10174.1,10199.5,25.4,20.489051094890506,4.910948905109493
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,82,82,16,16,10175,10200.3,25.3,20.489051094890506,4.810948905109495
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,83,83,18,18,10179.9,10210.5,30.6,20.489051094890506,10.110948905109495
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,84,84,37,37,10388.1,10407.3,19.2,20.489051094890506,-1.289051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,85,85,30,30,10391.9,10412.1,20.2,20.489051094890506,-0.289051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,86,86,30,30,10537.5,10541.3,3.8,20.489051094890506,-16.68905109
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,87,87,37,37,10622.7,10638.5,15.8,20.489051094890506,-4.689051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,88,89,49,49,10855.1,10882.6,27.5,20.489051094890506,7.010948905109494
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,89,88,42,42,10860.3,10880.6,20.3,20.489051094890506,-0.189051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,91,91,42,42,11094.9,11110.2,15.3,20.489051094890506,-5.189051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,92,92,49,49,11101.3,11115.2,13.9,20.489051094890506,-6.589051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,93,93,61,61,11327.9,11344.4,16.5,20.489051094890506,-3.989051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,94,94,54,54,11333.1,11348.2,15.1,20.489051094890506,-5.389051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,95,95,49,49,11568.3,11580.3,12,20.489051094890506,-8.489051095
pid_11-21-³ó½ÇµÄ³¿¸èpid,pid,96,96,47,47,11754.1,11773,18.9,20.489051094890506,-1.589051095
