呾楊靡備,珆尨靡備,翹秶坰竘,隙溫坰竘,翹秶偌瑩ID,隙溫偌瑩ID,翹秶偌瑩奀潔(ms),隙溫偌瑩奀潔(ms),橈勤晊奀(ms),呾楊す歙晊奀(ms),眈勤晊奀(ms)
pid_11-21-秞論聆彸2,pid,0,0,28,28,2853.7,2863.9,10.2,10.629100529100535,-0.429100529
pid_11-21-秞論聆彸2,pid,1,1,16,16,2865.6,2876.4,10.8,10.629100529100535,0.17089947089946556
pid_11-21-秞論聆彸2,pid,2,2,29,29,3018.9,3030.7,11.8,10.629100529100535,1.1708994708994656
pid_11-21-秞論聆彸2,pid,3,3,17,17,3020.7,3034.1,13.4,10.629100529100535,2.770899470899465
pid_11-21-秞論聆彸2,pid,4,5,18,18,3152.1,3162.3,10.2,10.629100529100535,-0.429100529
pid_11-21-秞論聆彸2,pid,5,4,30,30,3152.7,3162.1,9.4,10.629100529100535,-1.229100529
pid_11-21-秞論聆彸2,pid,6,6,19,19,3269.9,3282.5,12.6,10.629100529100535,1.9708994708994645
pid_11-21-秞論聆彸2,pid,7,7,31,31,3276.9,3287.1,10.2,10.629100529100535,-0.429100529
pid_11-21-秞論聆彸2,pid,8,8,20,20,3374.9,3386.3,11.4,10.629100529100535,0.7708994708994652
pid_11-21-秞論聆彸2,pid,9,9,32,32,3378.7,3390.3,11.6,10.629100529100535,0.9708994708994645
pid_11-21-秞論聆彸2,pid,10,10,33,33,3502.1,3511.1,9,10.629100529100535,-1.629100529
pid_11-21-秞論聆彸2,pid,11,11,21,21,3505.5,3514.1,8.6,10.629100529100535,-2.029100529
pid_11-21-秞論聆彸2,pid,12,12,34,34,3612.9,3622.5,9.6,10.629100529100535,-1.029100529
pid_11-21-秞論聆彸2,pid,13,13,22,22,3621.1,3636.3,15.2,10.629100529100535,4.570899470899464
pid_11-21-秞論聆彸2,pid,15,14,35,35,3727.1,3739.9,12.8,10.629100529100535,2.1708994708994656
pid_11-21-秞論聆彸2,pid,16,15,24,24,3829.9,3839.9,10,10.629100529100535,-0.629100529
pid_11-21-秞論聆彸2,pid,17,16,36,36,3841.5,3853.5,12,10.629100529100535,1.3708994708994648
pid_11-21-秞論聆彸2,pid,18,17,25,25,3927.5,3936.9,9.4,10.629100529100535,-1.229100529
pid_11-21-秞論聆彸2,pid,19,18,37,37,3943.3,3954.1,10.8,10.629100529100535,0.17089947089946556
pid_11-21-秞論聆彸2,pid,20,19,26,26,4040.3,4050.3,10,10.629100529100535,-0.629100529
pid_11-21-秞論聆彸2,pid,21,20,38,38,4056.5,4066.9,10.4,10.629100529100535,-0.229100529
pid_11-21-秞論聆彸2,pid,22,21,27,27,4137.3,4148.1,10.8,10.629100529100535,0.17089947089946556
pid_11-21-秞論聆彸2,pid,23,22,39,39,4140.1,4150.1,10,10.629100529100535,-0.629100529
pid_11-21-秞論聆彸2,pid,24,23,40,40,4261.3,4271.5,10.2,10.629100529100535,-0.429100529
pid_11-21-秞論聆彸2,pid,25,24,28,28,4267.7,4277.3,9.6,10.629100529100535,-1.029100529
pid_11-21-秞論聆彸2,pid,26,25,41,41,4371.7,4387.1,15.4,10.629100529100535,4.770899470899465
pid_11-21-秞論聆彸2,pid,27,26,29,29,4378.1,4388.7,10.6,10.629100529100535,-0.029100529
pid_11-21-秞論聆彸2,pid,28,27,42,42,4483.9,4493.3,9.4,10.629100529100535,-1.229100529
pid_11-21-秞論聆彸2,pid,29,28,30,30,4493.3,4502.5,9.2,10.629100529100535,-1.429100529
pid_11-21-秞論聆彸2,pid,30,29,31,31,4596.1,4606.3,10.2,10.629100529100535,-0.429100529
pid_11-21-秞論聆彸2,pid,31,30,43,43,4606.1,4619.1,13,10.629100529100535,2.370899470899465
pid_11-21-秞論聆彸2,pid,32,31,32,32,4688.9,4699.7,10.8,10.629100529100535,0.17089947089946556
