呾楊靡備,珆尨靡備,翹秶坰竘,隙溫坰竘,翹秶偌瑩ID,隙溫偌瑩ID,翹秶偌瑩奀潔(ms),隙溫偌瑩奀潔(ms),橈勤晊奀(ms),呾楊す歙晊奀(ms),眈勤晊奀(ms)
pid_11-21-秞論聆彸,pid,55,55,75,75,8383.5,8392.1,8.6,9.410045662100458,-0.810045662
pid_11-21-秞論聆彸,pid,56,56,16,16,8532.7,8543.6,10.9,9.410045662100458,1.4899543378995421
pid_11-21-秞論聆彸,pid,57,57,76,76,8555.1,8562.5,7.4,9.410045662100458,-2.010045662
pid_11-21-秞論聆彸,pid,59,58,75,75,8714.3,8723.5,9.2,9.410045662100458,-0.210045662
pid_11-21-秞論聆彸,pid,60,59,20,20,8882.3,8893.3,11,9.410045662100458,1.5899543378995418
pid_11-21-秞論聆彸,pid,61,60,73,73,8898.7,8908.7,10,9.410045662100458,0.5899543378995418
pid_11-21-秞論聆彸,pid,62,61,21,21,9041.9,9005.5,-36.4,9.410045662100458,-45.81004566
pid_11-21-秞論聆彸,pid,63,62,71,71,9048.3,9059.1,10.8,9.410045662100458,1.3899543378995425
pid_11-21-秞論聆彸,pid,64,63,23,23,9210.1,9218.7,8.6,9.410045662100458,-0.810045662
pid_11-21-秞論聆彸,pid,65,64,69,69,9217.5,9227.3,9.8,9.410045662100458,0.3899543378995425
pid_11-21-秞論聆彸,pid,66,66,68,68,9372.5,9383.5,11,9.410045662100458,1.5899543378995418
pid_11-21-秞論聆彸,pid,67,65,25,25,9372.9,9381.7,8.8,9.410045662100458,-0.610045662
pid_11-21-秞論聆彸,pid,68,67,27,27,9539.5,9549.7,10.2,9.410045662100458,0.7899543378995411
pid_11-21-秞論聆彸,pid,69,68,66,66,9554.7,9562.9,8.2,9.410045662100458,-1.210045662
pid_11-21-秞論聆彸,pid,70,69,28,28,9684.5,9694.1,9.6,9.410045662100458,0.18995433789954141
pid_11-21-秞論聆彸,pid,71,70,64,64,9707.2,9717.1,9.9,9.410045662100458,0.4899543378995421
pid_11-21-秞論聆彸,pid,72,71,30,30,9850.9,9860.1,9.2,9.410045662100458,-0.210045662
pid_11-21-秞論聆彸,pid,73,72,63,63,9860.6,9868.9,8.3,9.410045662100458,-1.110045662
pid_11-21-秞論聆彸,pid,74,73,32,32,10013.7,10025.5,11.8,9.410045662100458,2.3899543378995425
pid_11-21-秞論聆彸,pid,75,74,61,61,10028.2,10036.9,8.7,9.410045662100458,-0.710045662
pid_11-21-秞論聆彸,pid,76,75,33,33,10169.1,10177.9,8.8,9.410045662100458,-0.610045662
pid_11-21-秞論聆彸,pid,77,76,59,59,10183.8,10192.7,8.9,9.410045662100458,-0.510045662
pid_11-21-秞論聆彸,pid,78,77,35,35,10336.1,10346.5,10.4,9.410045662100458,0.9899543378995421
pid_11-21-秞論聆彸,pid,79,78,57,57,10344.6,10353.1,8.5,9.410045662100458,-0.910045662
pid_11-21-秞論聆彸,pid,80,79,37,37,10502.5,10512.1,9.6,9.410045662100458,0.18995433789954141
pid_11-21-秞論聆彸,pid,81,80,56,56,10505.4,10514.7,9.3,9.410045662100458,-0.110045662
pid_11-21-秞論聆彸,pid,82,81,39,39,10664.1,10674.1,10,9.410045662100458,0.5899543378995418
pid_11-21-秞論聆彸,pid,83,82,54,54,10672.2,10682.1,9.9,9.410045662100458,0.4899543378995421
pid_11-21-秞論聆彸,pid,84,83,40,40,10823.5,10833.3,9.8,9.410045662100458,0.3899543378995425
pid_11-21-秞論聆彸,pid,85,84,52,52,10838.2,10848.1,9.9,9.410045662100458,0.4899543378995421
pid_11-21-秞論聆彸,pid,86,85,42,42,10986.4,10995.3,8.9,9.410045662100458,-0.510045662
pid_11-21-秞論聆彸,pid,87,86,54,54,10993.4,11000.9,7.5,9.410045662100458,-1.910045662
pid_11-21-秞論聆彸,pid,88,87,44,44,11152.8,11163.9,11.1,9.410045662100458,1.6899543378995414
pid_11-21-秞論聆彸,pid,89,88,56,56,11171,11180.3,9.3,9.410045662100458,-0.110045662
pid_11-21-秞論聆彸,pid,90,89,45,45,11314,11322.5,8.5,9.410045662100458,-0.910045662
pid_11-21-秞論聆彸,pid,91,90,57,57,11318,11326.7,8.7,9.410045662100458,-0.710045662
pid_11-21-秞論聆彸,pid,92,91,59,59,11471.4,11480.3,8.9,9.410045662100458,-0.510045662
pid_11-21-秞論聆彸,pid,93,92,47,47,11478.8,11488.5,9.7,9.410045662100458,0.28995433789954106
